"search-number","evaluation","evals-requested-so-far","grid-size-x*","grid-size-y*","speed-limit*","num-cars*","ticks-per-cycle*","current-auto?*","power?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","117","500","5","5","0.2","200","20","true","false","""-1107272300""","52","200","91.57085828343314","18.084619682533454","100"
"1","118","500","5","5","0.2","200","20","true","false","""-482848738""","48","200","114.28542914171656","21.458340272851235","135"
"1","119","500","5","5","0.2","200","20","true","false","""-157232853""","48","200","88.10179640718563","19.473151177107088","120"
"1","120","500","5","5","0.2","200","20","true","false","""-1709111153""","48","200","79.00798403193613","14.161212381987093","85"
"1","121","500","5","5","2.8000000000000003","200","20","true","true","""374632978""","71","200","132.31536926147706","15.046339864344864","133"
"1","122","500","5","5","2.8000000000000003","200","20","true","true","""-156522539""","51","200","150.17165668662673","24.874856281994884","183"
"1","123","500","5","5","2.8000000000000003","200","20","true","true","""-1822485549""","60","200","139.82235528942115","18.55107488102824","142"
"1","124","500","5","5","2.8000000000000003","200","20","true","true","""-870225232""","59","200","127.42714570858283","13.866981706078885","152"
"1","125","500","5","5","2.8000000000000003","200","20","true","true","""1594749983""","51","200","130.74650698602795","11.780051475882914","135"
"1","126","500","5","5","2.8000000000000003","200","20","true","true","""-1787324690""","62","200","130.26347305389223","10.174597933764872","132"
"1","127","500","5","5","2.8000000000000003","200","20","true","true","""1182125002""","70","200","134.04590818363275","10.626188791074298","143"
"1","128","500","5","5","2.8000000000000003","200","20","true","true","""-1857994089""","44","200","124.18163672654691","12.580816432798308","132"
"1","129","500","5","5","2.8000000000000003","200","20","true","true","""2037128457""","65","200","131.57884231536926","13.190613005356724","136"
"1","130","500","5","5","2.8000000000000003","200","20","true","true","""1415524832""","71","200","130.8323353293413","12.085521599638525","137"
"1","131","500","5","5","2.6000000000000005","200","20","true","true","""36874992""","69","200","132.04790419161677","13.545984667007495","142"
"1","132","500","5","5","2.6000000000000005","200","20","true","true","""999772769""","65","200","124.25948103792415","11.401076042643513","151"
"1","133","500","5","5","2.6000000000000005","200","20","true","true","""-1247662768""","48","200","131.77045908183632","12.680426080728614","125"
"1","134","500","5","5","2.6000000000000005","200","20","true","true","""2107191774""","74","200","146.90219560878245","20.16978966597471","186"
"1","135","500","5","5","2.6000000000000005","200","20","true","true","""916921359""","60","200","141.1377245508982","13.476905950995432","157"
"1","136","500","5","5","2.6000000000000005","200","20","true","true","""1077788738""","54","200","140.60279441117765","17.026447432616358","146"
"1","137","500","5","5","2.6000000000000005","200","20","true","true","""1824234536""","53","200","132.07385229540918","16.73775776291853","156"
"1","138","500","5","5","2.6000000000000005","200","20","true","true","""-399158060""","55","200","134.85229540918164","15.658548455095023","140"
"1","139","500","5","5","2.6000000000000005","200","20","true","true","""1475993639""","60","200","132.0439121756487","15.848219706461402","139"
"1","140","500","5","5","2.6000000000000005","200","20","true","true","""-603268956""","55","200","140.56686626746506","26.327590470076803","179"
"1","141","500","5","5","3.2","200","20","true","true","""-1243361081""","56","200","141.53692614770458","24.99986267427354","161"
